LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
1024,GeneralError,1,Admininstrative System Error,csi,管理系统错误
1025,InvalidCDODefID,1,"Invalid CDO Definition ""#ErrorMsg.CDOID""",csi,"无效 CDO 定义 ""#ErrorMsg.CDOID"""
1026,InvalidParentCDODefID,1,Invalid Parent CDO Definition,csi,无效父 CDO 定义
1027,InvalidTableID,1,Invalid Table ID,csi,无效表 ID
1028,InvalidColumnID,1,Invalid Column ID,csi,无效列 ID
1029,InvalidFieldDefID,1,Invalid Field Def ID,csi,无效字段定义 ID
1030,InvalidCPPDataTypeID,1,Invalid CPP Data Type ID,csi,无效 CPP 数据类型 ID
1031,InvalidDBCategoryID,1,Invalid DB Category ID,csi,无效 DB 分类 ID
1032,MismatchCPPTypeFieldDef,1,Mismatch CPP Type Field Def,csi,误配 CPP 类型字段定义
1033,InvalidLabelID,1,Invalid Label ID,csi,无效标签 ID
1034,InvalidCDOFieldID,1,Invalid CDO Field ID,csi,无效 CDO 字段 ID
1035,InvalidPrecision,1,Invalid Precision,csi,无效精度
1036,InvalidScale,1,Invalid Scale,csi,无效比例
1037,InvalidSQLName,1,Invalid SQL Name,csi,无效 SQL 名称
1038,InvalidSQLType,1,Invalid SQL Type,csi,无效 SQL 类型
1039,InvalidCDOMapID,1,Invalid CDO Map ID,csi,无效 CDO 对照 ID
1040,InvalidCLFEventsID,1,Invalid CLF Events ID,csi,无效 CLF 事件 ID
1041,InvalidCLFDefID,1,Invalid CLF Def ID,csi,无效 CLF 定义 ID
1042,InvalidCLFTypeID,1,Invalid CLF Type ID,csi,无效 CLF 类型 ID
1043,InvalidCLFEventMapID,1,Invalid CLF Event Map ID,csi,无效 CLF 事件对照 ID
1044,InvalidFunctionID,1,Invalid Function ID,csi,无效功能 ID
1045,InvalidDataSourceName,1,Invalid Data Source Name,csi,无效数据源名称
1046,InvalidDataSourceRights,1,Invalid Data Source Rights,csi,无效数据源权限
1047,InvalidDataSourceID,1,Invalid Data Source ID,csi,无效数据源 ID
1048,1048,1,WIPMsgDefinition is not found,csi,找不到 WIPMsgDefinition
1049,1049,1,Entity not found,csi,找不到实体
