LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
1024,GeneralError,1,Admininstrative System Error,csi,Erreur du système d'administration
1025,InvalidCDODefID,1,"Invalid CDO Definition ""#ErrorMsg.CDOID""",csi,"Définition de CDO non valable ""#ErrorMsg.CDOID"""
1026,InvalidParentCDODefID,1,Invalid Parent CDO Definition,csi,Définition CDO parent non valable
1027,InvalidTableID,1,Invalid Table ID,csi,ID de table non valable
1028,InvalidColumnID,1,Invalid Column ID,csi,ID de colonne non valable
1029,InvalidFieldDefID,1,Invalid Field Def ID,csi,ID de Déf de champ non valable
1030,InvalidCPPDataTypeID,1,Invalid CPP Data Type ID,csi,ID de type de données CPP non valable
1031,InvalidDBCategoryID,1,Invalid DB Category ID,csi,ID de catégorie de base de données non valable
1032,MismatchCPPTypeFieldDef,1,Mismatch CPP Type Field Def,csi,Incompatibilité de la Déf du champ de type CPP
1033,InvalidLabelID,1,Invalid Label ID,csi,ID de label non valable
1034,InvalidCDOFieldID,1,Invalid CDO Field ID,csi,ID de champ CDO non valable
1035,InvalidPrecision,1,Invalid Precision,csi,Précision non valable
1036,InvalidScale,1,Invalid Scale,csi,Balance non valable
1037,InvalidSQLName,1,Invalid SQL Name,csi,Nom SQL non valable
1038,InvalidSQLType,1,Invalid SQL Type,csi,Type SQL non valable
1039,InvalidCDOMapID,1,Invalid CDO Map ID,csi,ID de corresp de CDO non valable
1040,InvalidCLFEventsID,1,Invalid CLF Events ID,csi,ID des événements CLF non valable
1041,InvalidCLFDefID,1,Invalid CLF Def ID,csi,ID de Déf de CLF non valable
1042,InvalidCLFTypeID,1,Invalid CLF Type ID,csi,ID de type CLF non valable
1043,InvalidCLFEventMapID,1,Invalid CLF Event Map ID,csi,ID de corresp d'événement CLF non valable
1044,InvalidFunctionID,1,Invalid Function ID,csi,ID de fonction non valable
1045,InvalidDataSourceName,1,Invalid Data Source Name,csi,Nom de source de données non valable
1046,InvalidDataSourceRights,1,Invalid Data Source Rights,csi,Droits de source de données non valables
1047,InvalidDataSourceID,1,Invalid Data Source ID,csi,ID source de données non valable
1048,1048,1,WIPMsgDefinition is not found,csi,WIPMsgDefinition introuvable
1049,1049,1,Entity not found,csi,Entité introuvable
1050,1050,1,You need to specify a workflow object before invoking this event.,csi,Vous devez spécifier un objet de traitement avant d'invoquer cet événement.
1051,1051,1,The string #ErrorMsg.StringExceptionText was caught by an execution.,csi,La chaîne #ErrorMsg.StringExceptionText a été détectée par une exécution.
1052,1052,1,"Container ""#ErrorMsg.Name2"" is not a child of ""#ErrorMsg.Name1""",csi,"Le conteneur ""#ErrorMsg.Name2"" n'est pas un enfant de ""#ErrorMsg.Name1"""
1053,UnauthorizedCDODefId,1,"CDO ""#ErrorMsg.CDOID"" is not licensed.",csi,"Le CDO ""#ErrorMsg.CDOID"" n'est pas concédé sous licence."
1048588,Operation_InventoryPoint,2,Inventory Point,csi,Point d'inventaire
1048597,Operation_DisallowedTxns,2,Disallowed Transaction(s),csi,Transaction(s) non autorisée(s)
1048598,Operation_UseQueue,2,Use Queue,csi,Utiliser la file d'attente
1048604,Product_ProductFamily,2,Product Family,csi,Famille de produits
1048605,Product_ProductType,2,Product Type,csi,Type de produit
1048606,DocumentEntry_Document,2,Document,csi,Document
1048612,Container_Customer,2,Customer,csi,Client
1048616,Employee_CanLogin,2,Can login,csi,Peut se connecter
1048617,Employee_FullName,2,Full Name,csi,Nom complet
1048620,Employee_SessionValues,2,Session Values,csi,Valeurs de session
1048621,Employee_UserComment,2,User Comment,csi,Commentaire de l'utilisateur
1048623,MfgOrder_Containers,2,Containers,csi,Conteneurs
1048624,ChangeHistory_Notes,2,Notes,csi,Remarques
1048625,Container_Product,2,Product,csi,Produit
1048629,MfgOrder_UOM,2,UOM,csi,UdM
1048630,MfgOrder_UOM2,2,UOM2,csi,UdM2
1048631,ObjectGroup_Entries,2,Entries,csi,Entrées
1048632,Gate_EntryType,2,Entry Type,csi,Type d'entrée
1048633,ObjectGroup_Groups,2,Groups,csi,Groupes
1048635,Operation_BonusReasons,2,Bonus Reasons,csi,Motifs du bonus
1048638,Operation_LocalReworkReasons,2,Local Rework Reasons,csi,Motifs de retouche locale
1048639,Operation_LossReasons,2,Loss Reasons,csi,Motifs de la perte
1048640,Operation_ReworkReasons,2,Rework Reasons,csi,Motifs de retouche
1048641,Operation_SchedulingDetail,2,Scheduling Details,csi,Détails de planification
1048644,Operation_WorkCenter,2,Work Center,csi,Centre de travail
1048645,ProductFamily_CurrentCost,2,Current Cost,csi,Coût courant
1048646,DocumentEntry_DocumentSet,2,Document Set,csi,Ensemble de documents
1048648,ProductFamily_Products,2,Products,csi,Produits
1048649,ProductChanges_StdCost,2,Standard Cost,csi,Coût standard
1048654,Container_Workflow,2,Workflow,csi,Traitement
1048655,Resource_Availability,2,Availability,csi,Disponibilité
1048656,Resource_ChildResources,2,Child Resources,csi,Ressources enfant
1048657,Resource_CurrentSetup,2,Current Setup,csi,Configuration courante
1048659,Container_Factory,2,Factory,csi,Usine
1048660,Container_Location,2,Location,csi,Emplacement
1048661,ResourceChanges_LogItem,2,Log Item,csi,Elément de journal
1048662,Resource_Logs,2,Logs,csi,Journaux
1048663,Resource_ParentResource,2,Parent Resource,csi,Ressource parente
1048664,Resource_PMStatus,2,PM Status,csi,Statut PM
1048665,ResourceChanges_PMStatusItem,2,PM Status Item,csi,Elément de statut PM
1048666,Resource_ProductionStatus,2,Production Status,csi,Statut de production
1048668,Resource_Run,2,Run,csi,Exécuter
1048671,Container_Status,2,Status,csi,Statut
1048678,NamedDataObject_Description,2,Description,csi,Description
1048679,NamedDataObject_IconId,2,Icon ID,csi,ID de l'icône
1048680,NamedDataObject_IsFrozen,2,Locked/Unlocked,csi,Verrouillé/Déverrouillé
1048681,Service_Name,2,Name,csi,Nom
1048682,Maintenance_ObjectToChange,2,Object to Change,csi,Objet à modifier
1048703,ContainerLevel_AllowMove,2,Allow Move,csi,Autoriser le déplacement
1048704,ContainerLevel_IsNameUnique,2,Is Name Unique,csi,Est Nom unique
