LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
1024,GeneralError,1,Admininstrative System Error,csi,管理システムエラー
1025,InvalidCDODefID,1,"Invalid CDO Definition ""#ErrorMsg.CDOID""",csi,"無効なCDO定義""#ErrorMsg.CDOID"""
1026,InvalidParentCDODefID,1,Invalid Parent CDO Definition,csi,無効な親CDO定義
1027,InvalidTableID,1,Invalid Table ID,csi,無効なテーブルID
1028,InvalidColumnID,1,Invalid Column ID,csi,無効な列ID
1029,InvalidFieldDefID,1,Invalid Field Def ID,csi,無効なフィールド定義ID
1030,InvalidCPPDataTypeID,1,Invalid CPP Data Type ID,csi,無効なCPPデータタイプID
1031,InvalidDBCategoryID,1,Invalid DB Category ID,csi,無効なDBカテゴリID
1032,MismatchCPPTypeFieldDef,1,Mismatch CPP Type Field Def,csi,一致していないCPPタイプフィールド定義
1033,InvalidLabelID,1,Invalid Label ID,csi,無効なラベルID
1034,InvalidCDOFieldID,1,Invalid CDO Field ID,csi,無効なCDOフィールドID
1035,InvalidPrecision,1,Invalid Precision,csi,無効な精度
1036,InvalidScale,1,Invalid Scale,csi,無効なスケール
1037,InvalidSQLName,1,Invalid SQL Name,csi,無効なSQL名
1038,InvalidSQLType,1,Invalid SQL Type,csi,無効なSQLタイプ
1039,InvalidCDOMapID,1,Invalid CDO Map ID,csi,無効なCDOマップID
1040,InvalidCLFEventsID,1,Invalid CLF Events ID,csi,無効なCLFイベントID
1041,InvalidCLFDefID,1,Invalid CLF Def ID,csi,無効なCLF定義ID
1042,InvalidCLFTypeID,1,Invalid CLF Type ID,csi,無効なCLFタイプID
1043,InvalidCLFEventMapID,1,Invalid CLF Event Map ID,csi,無効なCLFイベントマップID
1044,InvalidFunctionID,1,Invalid Function ID,csi,無効な関数ID
1045,InvalidDataSourceName,1,Invalid Data Source Name,csi,無効なデータソース名
1046,InvalidDataSourceRights,1,Invalid Data Source Rights,csi,無効なデータソースライト
1047,InvalidDataSourceID,1,Invalid Data Source ID,csi,無効なデータソースID
1048,1048,1,WIPMsgDefinition is not found,csi,WIPMsgDefinitionが見つかりません
1049,1049,1,Entity not found,csi,エンティティが見つかりません
1050,1050,1,You need to specify a workflow object before invoking this event.,csi,このイベントを呼出す前に、ワークフローオブジェクトを指定する必要があります。
1051,1051,1,The string #ErrorMsg.StringExceptionText was caught by an execution.,csi,文字列#ErrorMsg.StringExceptionTextが、実行で見つかりました。
1052,1052,1,"Container ""#ErrorMsg.Name2"" is not a child of ""#ErrorMsg.Name1""",csi,"コンテナ""#ErrorMsg.Name2""は、""#ErrorMsg.Name1""の子ではありません"
1053,UnauthorizedCDODefId,1,"CDO ""#ErrorMsg.CDOID"" is not licensed.",csi,"CDO ""#ErrorMsg.CDOID""は、ライセンスがありません。"
1048588,Operation_InventoryPoint,2,Inventory Point,csi,在庫点
1048597,Operation_DisallowedTxns,2,Disallowed Transaction(s),csi,許可されないトランザクション
1048598,Operation_UseQueue,2,Use Queue,csi,キューを使用
1048604,Product_ProductFamily,2,Product Family,csi,製品ファミリ
1048605,Product_ProductType,2,Product Type,csi,製品タイプ
1048606,DocumentEntry_Document,2,Document,csi,文書
1048612,Container_Customer,2,Customer,csi,カスタマ
1048616,Employee_CanLogin,2,Can login,csi,ログイン可能
1048617,Employee_FullName,2,Full Name,csi,フルネーム
1048620,Employee_SessionValues,2,Session Values,csi,セッション値
1048621,Employee_UserComment,2,User Comment,csi,ユーザコメント
1048623,MfgOrder_Containers,2,Containers,csi,コンテナ
1048624,ChangeHistory_Notes,2,Notes,csi,注記
1048625,Container_Product,2,Product,csi,製品
1048629,MfgOrder_UOM,2,UOM,csi,測定単位
1048630,MfgOrder_UOM2,2,UOM2,csi,測定単位2
1048631,ObjectGroup_Entries,2,Entries,csi,エントリ
1048632,Gate_EntryType,2,Entry Type,csi,エントリタイプ
1048633,ObjectGroup_Groups,2,Groups,csi,グループ
1048635,Operation_BonusReasons,2,Bonus Reasons,csi,ボーナス理由
1048638,Operation_LocalReworkReasons,2,Local Rework Reasons,csi,ローカル再加工理由
1048639,Operation_LossReasons,2,Loss Reasons,csi,損失理由
1048640,Operation_ReworkReasons,2,Rework Reasons,csi,再加工理由
1048641,Operation_SchedulingDetail,2,Scheduling Details,csi,スケジューリング詳細
1048644,Operation_WorkCenter,2,Work Center,csi,ワークセンタ
1048645,ProductFamily_CurrentCost,2,Current Cost,csi,現在のコスト
1048646,DocumentEntry_DocumentSet,2,Document Set,csi,文書セット
1048648,ProductFamily_Products,2,Products,csi,製品
1048649,ProductChanges_StdCost,2,Standard Cost,csi,標準コスト
1048654,Container_Workflow,2,Workflow,csi,ワークフロー
1048655,Resource_Availability,2,Availability,csi,使用可能性
1048656,Resource_ChildResources,2,Child Resources,csi,子リソース
1048657,Resource_CurrentSetup,2,Current Setup,csi,現在のセットアップ
1048659,Container_Factory,2,Factory,csi,工場
1048660,Container_Location,2,Location,csi,ロケーション
1048661,ResourceChanges_LogItem,2,Log Item,csi,ログアイテム
1048662,Resource_Logs,2,Logs,csi,ログ作成
1048663,Resource_ParentResource,2,Parent Resource,csi,親リソース
1048664,Resource_PMStatus,2,PM Status,csi,PMステータス
1048665,ResourceChanges_PMStatusItem,2,PM Status Item,csi,PMステータスアイテム
1048666,Resource_ProductionStatus,2,Production Status,csi,生産ステータス
1048668,Resource_Run,2,Run,csi,実行
1048671,Container_Status,2,Status,csi,ステータス
1048678,NamedDataObject_Description,2,Description,csi,説明
1048679,NamedDataObject_IconId,2,Icon ID,csi,アイコンId
1048680,NamedDataObject_IsFrozen,2,Locked/Unlocked,csi,ロック済み/ロック解除済み
1048681,Service_Name,2,Name,csi,名前
1048682,Maintenance_ObjectToChange,2,Object to Change,csi,変更するオブジェクト
1048703,ContainerLevel_AllowMove,2,Allow Move,csi,移動を許可
1048704,ContainerLevel_IsNameUnique,2,Is Name Unique,csi,一意の名前のみです
1048705,Container_RelativePriority,2,Relative Priority,csi,相対優先度
1048706,ProductFamily_PlannedCost,2,Planned Cost,csi,計画コスト
1048708,RevisionedObjectChanges_IsRevOfRcd,2,Is Revision of Record,csi,レコードのリビジョンです
1048709,ContainerStatusDetails_ProductName,2,Product Name,csi,製品名
1048710,RevisionedObject_Revision,2,Revision,csi,リビジョン
1048711,Product_CustomerProductNumber,2,Customer Product Number,csi,カスタマ製品番号
1048712,MfgOrderChanges_Qty,2,Quantity,csi,数量
1048714,Spec_AllowReworkTo,2,Allow Rework To,csi,次への再加工を許可
1048715,Spec_MaxQueueTime,2,Max Queue Time,csi,最大キュー時間
1048717,Spec_WarningQueueTime,2,Warning Queue Time,csi,警告キュー時間
1048718,Workflow_TotalCycleTime,2,Total Cycle Time,csi,合計サイクル時間
1048719,Workflow_TotalYield,2,Total Yield,csi,合計歩留り
1048727,BaseObject_ChangeCount,2,Change Count,csi,変更数
1048728,SchedulingDetailChanges_StdBatchSize,2,Standard Batch Size,csi,標準バッチサイズ
1048729,SchedulingDetail_SetupTime,2,Setup Time,csi,セットアップ時間
1048730,SchedulingDetail_RunRateOption,2,Run Rate Option,csi,実行レートオプション
1048733,SchedulingDetail_Yield,2,Yield,csi,歩留り
1048734,SchedulingDetail_NormalCycleTime,2,Normal Cycle Time,csi,標準サイクル時間
1048735,SchedulingDetail_FastCycleTime,2,Fast Cycle Time,csi,高速サイクル時間
1048738,TxnDetails_NewOwner,2,New Owner,csi,新規所有者
1048740,TxnDetails_ReworkReason,2,Rework Reason,csi,再加工理由
1048741,TxnDetails_ToContainerName,2,To Container Name,csi,終了コンテナ名
1048742,TxnDetails_ToContainerLevel,2,To Container Level,csi,終了コンテナレベル
1048743,TxnDetails_ToContainerOption,2,To Container Option,csi,終了コンテナオプション
1048744,PathSelector_EffectiveFromDate,2,Effective From Date,csi,有効開始日
1048745,MaterialListItemChanges_EffectiveThruDate,2,Effective Through Date,csi,有効期限日
1048746,AlarmDefinition_MessageText,2,Message Text,csi,メッセージテキスト
1048747,WIPMsgDetails_WriteToHistory,2,Write To History,csi,履歴に書出し
1048752,WIPMsg_AcknowledgementRequired,2,Acknowledgment Required,csi,確認が必要
1048754,WIPMsgDetails_PasswordRequired,2,Password Required,csi,必要なパスワード
1048755,WIPMsgDetails_StopProcessing,2,Stop Processing,csi,処理を停止
1048756,AlarmDefinition_TriggerAction,2,Trigger Action,csi,トリガアクション
1048757,AlarmDefinition_SendNotification,2,Send Notification,csi,通知を送信
1048758,WIPMsgDetails_NotificationTargets,2,Notification targets,csi,通知ターゲット
1048759,AlarmDefinition_NotificationText,2,Notification Text,csi,通知テキスト
1048760,ObjectGroup_ResolvedEntries,2,Resolved Entries,csi,解決済みエントリ
1048761,WorkCenter_ResourceGroup,2,Resource Group,csi,リソースグループ
