LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
1024,GeneralError,1,Admininstrative System Error,csi,관리 시스템 오류
1025,InvalidCDODefID,1,"Invalid CDO Definition ""#ErrorMsg.CDOID""",csi,"잘못된 CDO 정의 ""#ErrorMsg.CDOID"""
1026,InvalidParentCDODefID,1,Invalid Parent CDO Definition,csi,잘못된 부모 CDO 정의
1027,InvalidTableID,1,Invalid Table ID,csi,잘못된 테이블 ID
1028,InvalidColumnID,1,Invalid Column ID,csi,잘못된 열 ID
1029,InvalidFieldDefID,1,Invalid Field Def ID,csi,잘못된 필드 정의 ID
1030,InvalidCPPDataTypeID,1,Invalid CPP Data Type ID,csi,잘못된 CPP 데이터 유형 ID
1031,InvalidDBCategoryID,1,Invalid DB Category ID,csi,잘못된 DB 카테고리 ID
1032,MismatchCPPTypeFieldDef,1,Mismatch CPP Type Field Def,csi,불일치 CPP 유형 필드 정의
1033,InvalidLabelID,1,Invalid Label ID,csi,잘못된 레이블 ID
1034,InvalidCDOFieldID,1,Invalid CDO Field ID,csi,잘못된 CDO 필드 ID
1035,InvalidPrecision,1,Invalid Precision,csi,잘못된 정밀도
1036,InvalidScale,1,Invalid Scale,csi,잘못된 저울
1037,InvalidSQLName,1,Invalid SQL Name,csi,잘못된 SQL 이름
1038,InvalidSQLType,1,Invalid SQL Type,csi,잘못된 SQL 유형
1039,InvalidCDOMapID,1,Invalid CDO Map ID,csi,잘못된 CDO 맵 ID
1040,InvalidCLFEventsID,1,Invalid CLF Events ID,csi,잘못된 CLF 이벤트 ID
1041,InvalidCLFDefID,1,Invalid CLF Def ID,csi,잘못된 CLF 정의 ID
1042,InvalidCLFTypeID,1,Invalid CLF Type ID,csi,잘못된 CLF 유형 ID
1043,InvalidCLFEventMapID,1,Invalid CLF Event Map ID,csi,잘못된 CLF 이벤트 맵 ID
1044,InvalidFunctionID,1,Invalid Function ID,csi,잘못된 함수 ID
1045,InvalidDataSourceName,1,Invalid Data Source Name,csi,잘못된 데이터 소스 이름
1046,InvalidDataSourceRights,1,Invalid Data Source Rights,csi,잘못된 데이터 소스 권한
1047,InvalidDataSourceID,1,Invalid Data Source ID,csi,잘못된 데이터 소스 ID
1048,1048,1,WIPMsgDefinition is not found,csi,WIPMsgDefinition을 찾지 못함
1049,1049,1,Entity not found,csi,엔티티를 찾지 못함
1050,1050,1,You need to specify a workflow object before invoking this event.,csi,이 이벤트를 호출하기 전에 워크플로 개체를 지정해야 합니다.
1051,1051,1,The string #ErrorMsg.StringExceptionText was caught by an execution.,csi,실행을 통해 #ErrorMsg.StringExceptionText 문자열을 발견했습니다.
1052,1052,1,"Container ""#ErrorMsg.Name2"" is not a child of ""#ErrorMsg.Name1""",csi,"""#ErrorMsg.Name2"" 컨테이너는 ""#ErrorMsg.Name1""의 자식이 아닙니다."
1053,UnauthorizedCDODefId,1,"CDO ""#ErrorMsg.CDOID"" is not licensed.",csi,"""#ErrorMsg.CDOID"" CDO에 대해 라이선스가 없습니다."
1048588,Operation_InventoryPoint,2,Inventory Point,csi,재고 포인트
1048597,Operation_DisallowedTxns,2,Disallowed Transaction(s),csi,허용되지 않는 트랜잭션
1048598,Operation_UseQueue,2,Use Queue,csi,대기열 사용
1048604,Product_ProductFamily,2,Product Family,csi,제품군
1048605,Product_ProductType,2,Product Type,csi,제품 유형
1048606,DocumentEntry_Document,2,Document,csi,문서
1048612,Container_Customer,2,Customer,csi,고객
1048616,Employee_CanLogin,2,Can login,csi,로그인 가능
1048617,Employee_FullName,2,Full Name,csi,성명
1048620,Employee_SessionValues,2,Session Values,csi,세션 값
1048621,Employee_UserComment,2,User Comment,csi,사용자 주석
1048623,MfgOrder_Containers,2,Containers,csi,컨테이너
1048624,ChangeHistory_Notes,2,Notes,csi,메모
1048625,Container_Product,2,Product,csi,제품
1048629,MfgOrder_UOM,2,UOM,csi,UOM
1048630,MfgOrder_UOM2,2,UOM2,csi,UOM2
1048631,ObjectGroup_Entries,2,Entries,csi,항목
1048632,Gate_EntryType,2,Entry Type,csi,항목 유형
1048633,ObjectGroup_Groups,2,Groups,csi,그룹
1048635,Operation_BonusReasons,2,Bonus Reasons,csi,보너스 이유
1048638,Operation_LocalReworkReasons,2,Local Rework Reasons,csi,로컬 재작업 이유
1048639,Operation_LossReasons,2,Loss Reasons,csi,손실 이유
1048640,Operation_ReworkReasons,2,Rework Reasons,csi,재작업 이유
1048641,Operation_SchedulingDetail,2,Scheduling Details,csi,예정 세부 정보
1048644,Operation_WorkCenter,2,Work Center,csi,작업 센터
1048645,ProductFamily_CurrentCost,2,Current Cost,csi,현재 비용
1048646,DocumentEntry_DocumentSet,2,Document Set,csi,문서 세트
1048648,ProductFamily_Products,2,Products,csi,제품
1048649,ProductChanges_StdCost,2,Standard Cost,csi,표준 비용
1048654,Container_Workflow,2,Workflow,csi,워크플로
1048655,Resource_Availability,2,Availability,csi,가용성
1048656,Resource_ChildResources,2,Child Resources,csi,자식 리소스
1048657,Resource_CurrentSetup,2,Current Setup,csi,현재 설정
1048659,Container_Factory,2,Factory,csi,공장
1048660,Container_Location,2,Location,csi,위치
1048661,ResourceChanges_LogItem,2,Log Item,csi,로그 아이템
1048662,Resource_Logs,2,Logs,csi,로그
1048663,Resource_ParentResource,2,Parent Resource,csi,부모 리소스
1048664,Resource_PMStatus,2,PM Status,csi,PM 상태
1048665,ResourceChanges_PMStatusItem,2,PM Status Item,csi,PM 상태 아이템
1048666,Resource_ProductionStatus,2,Production Status,csi,생산 상태
1048668,Resource_Run,2,Run,csi,실행
1048671,Container_Status,2,Status,csi,상태
1048678,NamedDataObject_Description,2,Description,csi,설명
1048679,NamedDataObject_IconId,2,Icon ID,csi,아이콘 ID
1048680,NamedDataObject_IsFrozen,2,Locked/Unlocked,csi,잠김/잠금 해제됨
1048681,Service_Name,2,Name,csi,이름
1048682,Maintenance_ObjectToChange,2,Object to Change,csi,변경할 개체
1048703,ContainerLevel_AllowMove,2,Allow Move,csi,이동 허용
1048704,ContainerLevel_IsNameUnique,2,Is Name Unique,csi,고유한 이름
1048705,Container_RelativePriority,2,Relative Priority,csi,상대적 우선순위
1048706,ProductFamily_PlannedCost,2,Planned Cost,csi,계획 비용
