LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
1024,GeneralError,1,Admininstrative System Error,csi,Erro do Sistema Administrativo
1025,InvalidCDODefID,1,"Invalid CDO Definition ""#ErrorMsg.CDOID""",csi,"Definição de CDO Inválida ""#ErrorMsg.CDOID"""
1026,InvalidParentCDODefID,1,Invalid Parent CDO Definition,csi,Definição de CDO Pai Inválida
1027,InvalidTableID,1,Invalid Table ID,csi,ID da Tabela Inválida
1028,InvalidColumnID,1,Invalid Column ID,csi,ID da Coluna Inválida
1029,InvalidFieldDefID,1,Invalid Field Def ID,csi,ID da Def do Campo Inválida
1030,InvalidCPPDataTypeID,1,Invalid CPP Data Type ID,csi,ID do Tipo de Dados de CPP Inválida
1031,InvalidDBCategoryID,1,Invalid DB Category ID,csi,ID da Categoria de BD Inválida
1032,MismatchCPPTypeFieldDef,1,Mismatch CPP Type Field Def,csi,Incompatibilidade de Def do Campo de Tipo de CPP
1033,InvalidLabelID,1,Invalid Label ID,csi,ID da Etiqueta Inválida
1034,InvalidCDOFieldID,1,Invalid CDO Field ID,csi,ID do Campo de CDO Inválida
1035,InvalidPrecision,1,Invalid Precision,csi,Precisão Inválida
1036,InvalidScale,1,Invalid Scale,csi,Escala Inválida
1037,InvalidSQLName,1,Invalid SQL Name,csi,Nome de SQL Inválido
1038,InvalidSQLType,1,Invalid SQL Type,csi,Tipo de SQL Inválido
1039,InvalidCDOMapID,1,Invalid CDO Map ID,csi,Id do Mapa de CDO Inválida
1040,InvalidCLFEventsID,1,Invalid CLF Events ID,csi,ID dos Eventos de CLF Inválida
1041,InvalidCLFDefID,1,Invalid CLF Def ID,csi,ID da Def de CLF Inválida
1042,InvalidCLFTypeID,1,Invalid CLF Type ID,csi,Id do Tipo de CLF Inválida
1043,InvalidCLFEventMapID,1,Invalid CLF Event Map ID,csi,Id do Mapa de Eventos de CLF Inválida
1044,InvalidFunctionID,1,Invalid Function ID,csi,ID da Função Inválida
1045,InvalidDataSourceName,1,Invalid Data Source Name,csi,Nome da Origem dos Dados Inválido
1046,InvalidDataSourceRights,1,Invalid Data Source Rights,csi,Direitos da Origem dos Dados Inválidos
1047,InvalidDataSourceID,1,Invalid Data Source ID,csi,ID da Origem dos Dados Inválida
1048,1048,1,WIPMsgDefinition is not found,csi,WIPMsgDefinition não encontrada
1049,1049,1,Entity not found,csi,Entidade não encontrada
1050,1050,1,You need to specify a workflow object before invoking this event.,csi,Você precisa especificar um objeto de fluxo de trabalho antes de invocar esse evento.
1051,1051,1,The string #ErrorMsg.StringExceptionText was caught by an execution.,csi,A string #ErrorMsg.StringExceptionText foi capturada por uma execução.
1052,1052,1,"Container ""#ErrorMsg.Name2"" is not a child of ""#ErrorMsg.Name1""",csi,"Contêiner ""#ErrorMsg.Name2"" não é um filho de ""#ErrorMsg.Name1"""
1053,UnauthorizedCDODefId,1,"CDO ""#ErrorMsg.CDOID"" is not licensed.",csi,"CDO ""#ErrorMsg.CDOID"" não está licenciado."
1048588,Operation_InventoryPoint,2,Inventory Point,csi,Ponto de Inventário
1048597,Operation_DisallowedTxns,2,Disallowed Transaction(s),csi,Transação(ões) Não Permitida(s)
1048598,Operation_UseQueue,2,Use Queue,csi,Usar Fila
1048604,Product_ProductFamily,2,Product Family,csi,Família de Produtos
1048605,Product_ProductType,2,Product Type,csi,Tipo de Produto
1048606,DocumentEntry_Document,2,Document,csi,Documento
1048612,Container_Customer,2,Customer,csi,Cliente
1048616,Employee_CanLogin,2,Can login,csi,Logon de Can
1048617,Employee_FullName,2,Full Name,csi,Nome Completo
1048620,Employee_SessionValues,2,Session Values,csi,Valores da Sessão
1048621,Employee_UserComment,2,User Comment,csi,Comentário do Usuário
1048623,MfgOrder_Containers,2,Containers,csi,Contêineres
1048624,ChangeHistory_Notes,2,Notes,csi,Notas
1048625,Container_Product,2,Product,csi,Produto
1048629,MfgOrder_UOM,2,UOM,csi,UM
1048630,MfgOrder_UOM2,2,UOM2,csi,UM2
1048631,ObjectGroup_Entries,2,Entries,csi,Entradas
1048632,Gate_EntryType,2,Entry Type,csi,Tipo de Entrada
1048633,ObjectGroup_Groups,2,Groups,csi,Grupos
1048635,Operation_BonusReasons,2,Bonus Reasons,csi,Razões de Bônus
1048638,Operation_LocalReworkReasons,2,Local Rework Reasons,csi,Razões de Retrabalho Local
1048639,Operation_LossReasons,2,Loss Reasons,csi,Razões da Perda
1048640,Operation_ReworkReasons,2,Rework Reasons,csi,Razões de Retrabalho
