LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
1024,GeneralError,1,Admininstrative System Error,csi,Error en el sistema administrativo
1025,InvalidCDODefID,1,"Invalid CDO Definition ""#ErrorMsg.CDOID""",csi,"Definición de CDO no válida ""#ErrorMsg.CDOID"""
1026,InvalidParentCDODefID,1,Invalid Parent CDO Definition,csi,Definición de CDO padre no válida
1027,InvalidTableID,1,Invalid Table ID,csi,Id de tabla no válido
1028,InvalidColumnID,1,Invalid Column ID,csi,Id de columna no válido
1029,InvalidFieldDefID,1,Invalid Field Def ID,csi,Id de definición de campo no válido
1030,InvalidCPPDataTypeID,1,Invalid CPP Data Type ID,csi,Id de tipo de dato CPP no válido
1031,InvalidDBCategoryID,1,Invalid DB Category ID,csi,Id de categoría DB no válido
1032,MismatchCPPTypeFieldDef,1,Mismatch CPP Type Field Def,csi,Definición de campo de tipo CPP no concordante
1033,InvalidLabelID,1,Invalid Label ID,csi,Id de etiqueta no válido
1034,InvalidCDOFieldID,1,Invalid CDO Field ID,csi,Id de campo CDO no válido
1035,InvalidPrecision,1,Invalid Precision,csi,Precisión no válida
1036,InvalidScale,1,Invalid Scale,csi,Escala no válida
1037,InvalidSQLName,1,Invalid SQL Name,csi,Nombre SQL no válido
1038,InvalidSQLType,1,Invalid SQL Type,csi,Tipo SQL no válido
1039,InvalidCDOMapID,1,Invalid CDO Map ID,csi,Id de mapa CDO no válido
1040,InvalidCLFEventsID,1,Invalid CLF Events ID,csi,Id de eventos CLF no válido
1041,InvalidCLFDefID,1,Invalid CLF Def ID,csi,Id de definición CLF no válido
1042,InvalidCLFTypeID,1,Invalid CLF Type ID,csi,Id de tipo CLF no válido
1043,InvalidCLFEventMapID,1,Invalid CLF Event Map ID,csi,Id de mapa de eventos CLF no válido
1044,InvalidFunctionID,1,Invalid Function ID,csi,Id de función no válido
1045,InvalidDataSourceName,1,Invalid Data Source Name,csi,Nombre de fuente de datos no válido
1046,InvalidDataSourceRights,1,Invalid Data Source Rights,csi,Permisos de fuente de datos no válidos
1047,InvalidDataSourceID,1,Invalid Data Source ID,csi,Id de fuente de datos no válido
1048,1048,1,WIPMsgDefinition is not found,csi,No se ha encontrado WIPMsgDefinition
1049,1049,1,Entity not found,csi,No se ha encontrado la entidad
1050,1050,1,You need to specify a workflow object before invoking this event.,csi,Debe especificar un objeto de flujo de trabajo antes de invocar este evento
1051,1051,1,The string #ErrorMsg.StringExceptionText was caught by an execution.,csi,La cadena #ErrorMsg.StringExceptionText ha sido encontrada por una ejecución.
1052,1052,1,"Container ""#ErrorMsg.Name2"" is not a child of ""#ErrorMsg.Name1""",csi,"El contenedor ""#ErrorMsg.Name2"" no es un hijo de ""#ErrorMsg.Name1"""
1053,UnauthorizedCDODefId,1,"CDO ""#ErrorMsg.CDOID"" is not licensed.",csi,"El CDO ""#ErrorMsg.CDOID"" no dispone de licencia."
1048588,Operation_InventoryPoint,2,Inventory Point,csi,Punto de inventario
1048597,Operation_DisallowedTxns,2,Disallowed Transaction(s),csi,Transacciones no permitidas
1048598,Operation_UseQueue,2,Use Queue,csi,Usar la fila de espera
1048604,Product_ProductFamily,2,Product Family,csi,Familia de productos
1048605,Product_ProductType,2,Product Type,csi,Tipo de producto
1048606,DocumentEntry_Document,2,Document,csi,Documento
1048612,Container_Customer,2,Customer,csi,Cliente
1048616,Employee_CanLogin,2,Can login,csi,Se puede iniciar sesión
1048617,Employee_FullName,2,Full Name,csi,Nombre completo
1048620,Employee_SessionValues,2,Session Values,csi,Valores de la sesión
1048621,Employee_UserComment,2,User Comment,csi,Comentario de usuario
1048623,MfgOrder_Containers,2,Containers,csi,Contenedores
1048624,ChangeHistory_Notes,2,Notes,csi,Notas
1048625,Container_Product,2,Product,csi,Producto
1048629,MfgOrder_UOM,2,UOM,csi,Unidad de medida
1048630,MfgOrder_UOM2,2,UOM2,csi,Unidad de medida 2
1048631,ObjectGroup_Entries,2,Entries,csi,Entradas
1048632,Gate_EntryType,2,Entry Type,csi,Tipo de entrada
1048633,ObjectGroup_Groups,2,Groups,csi,Grupos
1048635,Operation_BonusReasons,2,Bonus Reasons,csi,Motivos de bonificación
1048638,Operation_LocalReworkReasons,2,Local Rework Reasons,csi,Motivos de adaptación local
1048639,Operation_LossReasons,2,Loss Reasons,csi,Motivos de pérdida
1048640,Operation_ReworkReasons,2,Rework Reasons,csi,Motivos de adaptación
1048641,Operation_SchedulingDetail,2,Scheduling Details,csi,Detalles de programación
1048644,Operation_WorkCenter,2,Work Center,csi,Centro de trabajo
1048645,ProductFamily_CurrentCost,2,Current Cost,csi,Costo actual
1048646,DocumentEntry_DocumentSet,2,Document Set,csi,Conjunto de documentos
1048648,ProductFamily_Products,2,Products,csi,Productos
1048649,ProductChanges_StdCost,2,Standard Cost,csi,Costo estándar
1048654,Container_Workflow,2,Workflow,csi,Flujo de trabajo
1048655,Resource_Availability,2,Availability,csi,Disponibilidad
1048656,Resource_ChildResources,2,Child Resources,csi,Recursos hijos
1048657,Resource_CurrentSetup,2,Current Setup,csi,Ajuste inicial actual
1048659,Container_Factory,2,Factory,csi,Fábrica
1048660,Container_Location,2,Location,csi,Ubicación
1048661,ResourceChanges_LogItem,2,Log Item,csi,Ítem de registro
1048662,Resource_Logs,2,Logs,csi,Registros
1048663,Resource_ParentResource,2,Parent Resource,csi,Recurso padre
1048664,Resource_PMStatus,2,PM Status,csi,Estatus PM
1048665,ResourceChanges_PMStatusItem,2,PM Status Item,csi,Ítem de estatus PM
1048666,Resource_ProductionStatus,2,Production Status,csi,Estatus de producción
1048668,Resource_Run,2,Run,csi,Ejecutar
1048671,Container_Status,2,Status,csi,Estatus
1048678,NamedDataObject_Description,2,Description,csi,Descripción
1048679,NamedDataObject_IconId,2,Icon ID,csi,Id de icono
1048680,NamedDataObject_IsFrozen,2,Locked/Unlocked,csi,Bloqueado o desbloqueado
1048681,Service_Name,2,Name,csi,Nombre
1048682,Maintenance_ObjectToChange,2,Object to Change,csi,Objeto que debe cambiarse
1048703,ContainerLevel_AllowMove,2,Allow Move,csi,Permitir el movimiento
1048704,ContainerLevel_IsNameUnique,2,Is Name Unique,csi,Es un nombre único
1048705,Container_RelativePriority,2,Relative Priority,csi,Prioridad relativa
1048706,ProductFamily_PlannedCost,2,Planned Cost,csi,Costo planificado
1048708,RevisionedObjectChanges_IsRevOfRcd,2,Is Revision of Record,csi,Es una revisión del registro
1048709,ContainerStatusDetails_ProductName,2,Product Name,csi,Nombre del producto
1048710,RevisionedObject_Revision,2,Revision,csi,Revisión
1048711,Product_CustomerProductNumber,2,Customer Product Number,csi,Número de producto del cliente
1048712,MfgOrderChanges_Qty,2,Quantity,csi,Cantidad
1048714,Spec_AllowReworkTo,2,Allow Rework To,csi,Permitir la adaptación para
1048715,Spec_MaxQueueTime,2,Max Queue Time,csi,Tiempo máximo de fila de espera
1048717,Spec_WarningQueueTime,2,Warning Queue Time,csi,Aviso de tiempo de fila de espera
1048718,Workflow_TotalCycleTime,2,Total Cycle Time,csi,Tiempo total del ciclo
1048719,Workflow_TotalYield,2,Total Yield,csi,Cedencia total
1048727,BaseObject_ChangeCount,2,Change Count,csi,Cambiar el recuento
1048728,SchedulingDetailChanges_StdBatchSize,2,Standard Batch Size,csi,Tamaño de lote estándar
1048729,SchedulingDetail_SetupTime,2,Setup Time,csi,Tiempo de ajuste inicial
1048730,SchedulingDetail_RunRateOption,2,Run Rate Option,csi,Ejecutar la opción de velocidad
1048733,SchedulingDetail_Yield,2,Yield,csi,Cedencia
1048734,SchedulingDetail_NormalCycleTime,2,Normal Cycle Time,csi,Tiempo de ciclo normal
1048735,SchedulingDetail_FastCycleTime,2,Fast Cycle Time,csi,Tiempo de ciclo rápido
1048738,TxnDetails_NewOwner,2,New Owner,csi,Propietario nuevo
1048740,TxnDetails_ReworkReason,2,Rework Reason,csi,Motivo de la adaptación
1048741,TxnDetails_ToContainerName,2,To Container Name,csi,A nombre de contenedor
