2026-05-05T12:28:36  DCType - ID: 1000, Name: BaseObject
2026-05-05T12:28:36  DCType - ID: 1080, Name: Service, ParentID: 1000, ParentName: BaseObject
2026-05-05T12:28:36  DCType - ID: 1070, Name: Subentity, ParentID: 1000, ParentName: BaseObject
2026-05-05T12:28:36  DCType - ID: 1200, Name: ServiceData, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 4727033, Name: CDOSubFields, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 4727034, Name: FunctionDetails, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 4727071, Name: CIOOutboundAuthenticationData, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 4727070, Name: CIOOutboundHeaderKeyValue, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 4727018, Name: CIOMessagesToSend, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 8939, Name: SmartScanParseResult, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 2280, Name: WIPMsgMgr, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 2300, Name: WIPMsg, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 1050, Name: RevisionedObject, ParentID: 1000, ParentName: BaseObject
2026-05-05T12:28:36  DCType - ID: 1160, Name: ChangeHistory, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 1180, Name: WIPMsgDefMgr, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 2090, Name: WIPMsgKey, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 2080, Name: WIPMsgDetails, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 2110, Name: WIPMsgLabelKey, ParentID: 2090, ParentName: WIPMsgKey
2026-05-05T12:28:36  DCType - ID: 2100, Name: WIPMsgOperationKey, ParentID: 2090, ParentName: WIPMsgKey
2026-05-05T12:28:36  DCType - ID: 7415, Name: ModelingESigHistoryDetail, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 1210, Name: Document, ParentID: 1050, ParentName: RevisionedObject
2026-05-05T12:28:36  DCType - ID: 4751685, Name: ProcessControlSub, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 4753083, Name: DocumentParameters, ParentID: 4751685, ParentName: ProcessControlSub
2026-05-05T12:28:36  DCType - ID: 2260, Name: WIPMsgCriteria, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 6936, Name: WIPMsgMgrInquiry, ParentID: 2280, ParentName: WIPMsgMgr
2026-05-05T12:28:36  DCType - ID: 1090, Name: Inquiry, ParentID: 1080, ParentName: Service
2026-05-05T12:28:36  DCType - ID: 8186, Name: ActionsMenuInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 8187, Name: ActionsMenuInquiryDetails, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 8003, Name: ApprovalCycleInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 8004, Name: ApprovalCycleInquiryDetails, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 7366, Name: AuditTrailInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 2510, Name: HistoryDetails, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 7369, Name: AuditTrail, ParentID: 2510, ParentName: HistoryDetails
2026-05-05T12:28:36  DCType - ID: 7371, Name: ModelingAuditTrail, ParentID: 7369, ParentName: AuditTrail
2026-05-05T12:28:36  DCType - ID: 7375, Name: AuditTrailField, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 7379, Name: AuditTrailSubentityField, ParentID: 7375, ParentName: AuditTrailField
2026-05-05T12:28:36  DCType - ID: 7377, Name: AuditTrailSubentityInfo, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 7380, Name: AuditTrailTrivialField, ParentID: 7375, ParentName: AuditTrailField
2026-05-05T12:28:36  DCType - ID: 7378, Name: AuditTrailTrivialFieldValue, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 7372, Name: V4_SecurityAuditTrail, ParentID: 7369, ParentName: AuditTrail
2026-05-05T12:28:36  DCType - ID: 7376, Name: V4_AuditTrailSecPermission, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 7370, Name: AuditTrailHeader, ParentID: 2510, ParentName: HistoryDetails
2026-05-05T12:28:36  DCType - ID: 7373, Name: ModelingAuditTrailHeader, ParentID: 7370, ParentName: AuditTrailHeader
2026-05-05T12:28:36  DCType - ID: 7374, Name: V4_SecurityAuditTrailHeader, ParentID: 7370, ParentName: AuditTrailHeader
2026-05-05T12:28:36  DCType - ID: 7367, Name: ModelingAuditTrailInquiry, ParentID: 7366, ParentName: AuditTrailInquiry
2026-05-05T12:28:36  DCType - ID: 7368, Name: V4_SecurityAuditTrailInquiry, ParentID: 7366, ParentName: AuditTrailInquiry
2026-05-05T12:28:36  DCType - ID: 7962, Name: BatchInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 7963, Name: BatchInquiryDetail, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 6900, Name: ContainerStatusDetails, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 6901, Name: ViewContainerAsParent, ParentID: 6900, ParentName: ContainerStatusDetails
2026-05-05T12:28:36  DCType - ID: 1201, Name: NamedSubentity, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 1230, Name: DocumentEntry, ParentID: 1201, ParentName: NamedSubentity
2026-05-05T12:28:36  DCType - ID: 7161, Name: CurrentContainerStatus, ParentID: 6901, ParentName: ViewContainerAsParent
2026-05-05T12:28:36  DCType - ID: 7989, Name: UserAttribute, ParentID: 1201, ParentName: NamedSubentity
2026-05-05T12:28:36  DCType - ID: 8678, Name: Timer, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 1020, Name: NamedDataObject, ParentID: 1000, ParentName: BaseObject
2026-05-05T12:28:36  DCType - ID: 1220, Name: DocumentSet, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:36  DCType - ID: 7398, Name: CDOInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 7381, Name: ObjectAlternateKey, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 7399, Name: ObjectReferencesInfo, ParentID: 7381, ParentName: ObjectAlternateKey
2026-05-05T12:28:36  DCType - ID: 7400, Name: ObjectField, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 7401, Name: ReferenceField, ParentID: 7400, ParentName: ObjectField
2026-05-05T12:28:36  DCType - ID: 7402, Name: SubentityField, ParentID: 7400, ParentName: ObjectField
2026-05-05T12:28:36  DCType - ID: 7403, Name: SubentityInstance, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 8471, Name: ObjectToResolve, ParentID: 7399, ParentName: ObjectReferencesInfo
2026-05-05T12:28:36  DCType - ID: 8633, Name: CDOInstanceInfoInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 8630, Name: CDOInstanceInfo, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 8629, Name: CDOField, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 8632, Name: CDOList, ParentID: 8629, ParentName: CDOField
2026-05-05T12:28:36  DCType - ID: 8631, Name: CDOSubentityField, ParentID: 8629, ParentName: CDOField
2026-05-05T12:28:36  DCType - ID: 8546, Name: ChangePackageInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 8548, Name: ChangePackageInquiryDetail, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 8476, Name: TrackableObject, ParentID: 1000, ParentName: BaseObject
2026-05-05T12:28:36  DCType - ID: 8487, Name: TrackableObjectCurrentStatus, ParentID: 1000, ParentName: BaseObject
2026-05-05T12:28:36  DCType - ID: 8477, Name: ChangePackage, ParentID: 8476, ParentName: TrackableObject
2026-05-05T12:28:36  DCType - ID: 8525, Name: ChangePackageTarget, ParentID: 1070, ParentName: Subentity
